feature,w_j,D_j
marital_status_Never-married,0.8753037437480217,0.028492110799854017
marital_status_Divorced,0.91526644205948,0.01851560464728879
workclass_Self-emp-not-inc,0.9432257714976005,0.012038311551275091
marital_status_Widowed,0.9448288040134387,0.01167855928020091
relationship_Own-child,0.9588576310586433,0.008581538616099421
relationship_Unmarried,0.9662606878034129,0.006983480260029276
workclass_Self-emp-inc,0.9747858224921684,0.0051732753854314695
workclass_Local-gov,0.9763892771055043,0.0048363339188831345
capital_loss,0.9881156741034965,0.00240545235906435
marital_status_Separated,0.9882842563451532,0.002370925890932171
occupation_Priv-house-serv,0.991451726824025,0.0017243952367420184
relationship_Other-relative,0.9918287637453841,0.0016477110874984768
marital_status_Married-spouse-absent,0.9926379981452012,0.0014833205798196747
occupation_Other-service,0.9936654394361353,0.0012749886053115417
occupation_Protective-serv,0.9945101872411531,0.0011040234337017923
native_country_Italy,0.9961112965122705,0.0007807769074289761
native_country_Iran,0.9963556483552846,0.0007315363044775036
race_Amer-Indian-Eskimo,0.996792305778514,0.0006436033269700686
native_country_Greece,0.9974870021254859,0.0005038657885584885
native_country_Dominican-Republic,0.9976846491368649,0.0004641448307615148
native_country_Mexico,0.9977283185363011,0.0004553707500317694
native_country_Portugal,0.9978017890086153,0.0004406107536785997
race_Other,0.9978294765727512,0.0004350489694298909
native_country_Canada,0.998321561674317,0.00033625204345340276
native_country_Honduras,0.9986852130621955,0.00026330357566288487
native_country_Thailand,0.9987545401435441,0.00024940259220786187
native_country_El-Salvador,0.9988289645663423,0.00023448167307925372
workclass_Without-pay,0.9988769313440851,0.0002248662714442462
native_country_India,0.9989651668896349,0.00020718101985219006
native_country_Haiti,0.9989968221168766,0.0002008370519132885
native_country_Poland,0.9991141589296826,0.00017732529609357228
native_country_Outlying-US(Guam-USVI-etc),0.9992822001921935,0.0001436630828945823
native_country_Jamaica,0.9995699135806013,8.60542946631987e-05
capital_gain,0.9996746861611516,6.50839404761766e-05
occupation_Prof-specialty,0.9996878533418804,6.244882481591663e-05
native_country_Trinadad&Tobago,0.9997379917365579,5.241538595268658e-05
native_country_Yugoslavia,0.9998357861252712,3.2848169070856525e-05
native_country_Vietnam,0.9998479781219194,3.0408998449152347e-05
native_country_Cambodia,0.9998562732459423,2.8749482881396116e-05
native_country_Japan,1.0,0.0
native_country_United-States,1.0,0.0
native_country_Taiwan,1.0,0.0
native_country_Guatemala,1.0,0.0
native_country_South,1.0,0.0
native_country_Holand-Netherlands,1.0,0.0
native_country_Scotland,1.0,0.0
native_country_Puerto-Rico,1.0,0.0
native_country_Hong,1.0,0.0
native_country_Philippines,1.0,0.0
native_country_Hungary,1.0,0.0
native_country_Peru,1.0,0.0
native_country_Nicaragua,1.0,0.0
native_country_Laos,1.0,0.0
native_country_Ireland,1.0,0.0
native_country_Germany,1.0,0.0
age,1.0,0.0
native_country_England,1.0,0.0
education_num,1.0,0.0
hours_per_week,1.0,0.0
workclass_Federal-gov,1.0,0.0
workclass_Private,1.0,0.0
workclass_State-gov,1.0,0.0
marital_status_Married-AF-spouse,1.0,0.0
marital_status_Married-civ-spouse,1.0,0.0
occupation_Adm-clerical,1.0,0.0
occupation_Armed-Forces,1.0,0.0
occupation_Craft-repair,1.0,0.0
occupation_Exec-managerial,1.0,0.0
occupation_Farming-fishing,1.0,0.0
occupation_Handlers-cleaners,1.0,0.0
native_country_France,1.0,0.0
occupation_Machine-op-inspct,1.0,0.0
occupation_Tech-support,1.0,0.0
occupation_Transport-moving,1.0,0.0
relationship_Husband,1.0,0.0
relationship_Not-in-family,1.0,0.0
relationship_Wife,1.0,0.0
race_Asian-Pac-Islander,1.0,0.0
race_Black,1.0,0.0
sex_Female,1.0,0.0
sex_Male,1.0,0.0
native_country_China,1.0,0.0
native_country_Columbia,1.0,0.0
native_country_Cuba,1.0,0.0
native_country_Ecuador,1.0,0.0
occupation_Sales,1.0,0.0
race_White,1.0,0.0
