bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,1206,0.7686567164179104,0.7253262258213299,0.7758030812553423,0.2033341069080219,0.06139178995109762,1.1558088715604187,0.09734252741171492
1,2412,0.7437810945273632,0.6755656971323154,0.7473583938482609,0.002414585431259414,0.152988814486263,1.0000210110812484,0.023713235294117632
2,3618,0.7517965726920951,0.6833615312646187,0.7567603509644804,0.08899503281730903,0.04460235073193547,1.032042090317658,0.014119171228375443
3,4824,0.7547678275290216,0.6908852568343146,0.7608560433407834,0.116962986274976,0.03672566231943758,1.0543549197949815,0.031000304191173833
4,6030,0.7563847429519072,0.6961385580759939,0.7628244655066138,0.11646585839235754,0.04245245650777524,1.0516667783808171,0.029477230875038833
5,7236,0.7606412382531785,0.6994976262408287,0.766935433607391,0.11945027477552017,0.04958495672953023,1.0557159127153526,0.03231818187501031
6,8442,0.7604832977967306,0.6993799836454431,0.7674830468692375,0.1142765235987625,0.05010780996143971,1.049627776951178,0.027830083846937855
7,9648,0.7612976782752903,0.7002161381331486,0.7681001000821648,0.11767447414059717,0.05533419081409996,1.0532796547526944,0.030628030484461
8,10854,0.7595356550580431,0.6985493819488404,0.7662813714609454,0.1131415718262414,0.06448320438328953,1.0486876762966675,0.02702893656036541
9,12060,0.7602819237147596,0.6996377583532403,0.7673882246936421,0.11271993277203252,0.06009726098375007,1.0478258337106205,0.02644119840265504
10,13266,0.7606663651439771,0.7005737081840797,0.7677545281136706,0.10837005557154175,0.06151008351492415,1.0437379561732878,0.022986224902333964
11,14472,0.7607794361525705,0.7011606085927828,0.7682133431781257,0.11204544790723492,0.06062230243242739,1.0464236312307904,0.025472286446411425
12,15678,0.7620232172470979,0.7026226141943355,0.7695426028483252,0.11064856168302778,0.058329242880304,1.0450913808567959,0.024350533846345487
13,16884,0.7619639895759299,0.70241072769727,0.769825051682778,0.1112019645883775,0.05843404436333832,1.0453115452326822,0.02461505531140065
14,18090,0.761746821448314,0.7020378636802829,0.7697247286235436,0.11157598512062361,0.054683113856885235,1.0455645836181884,0.024855159999931428
15,19296,0.7608830845771144,0.7014741302944569,0.7689303476688406,0.11309942645342952,0.052094314810104514,1.0466178183246229,0.025840533336043567
16,20502,0.7599746366208174,0.7017110913158535,0.768057329088353,0.1173225481225357,0.05192412520579509,1.049824695017691,0.028684272858647265
17,21708,0.7601805785885388,0.702177856212334,0.7682089303495876,0.11614404420699909,0.04875103532016151,1.0486848815785303,0.027760588295931407
18,22914,0.7601902766867418,0.7022073093556623,0.7681442254245725,0.11580134585870017,0.049443433665954495,1.0484464963042792,0.027542956678245748
19,24111,0.7590726224544814,0.7006722276559756,0.7670293335204562,0.11382549629074143,0.046909674373844135,1.0467330703013786,0.026082276439743018
