feature,w_j,D_j
racepctblack,0.9581566198265015,0.008734142061466998
PctHousNoPhone,0.9705934589876292,0.006059497051019297
pctUrban,0.9736679247455435,0.005408841060742173
AsianPerCap,0.9780813183535584,0.004481975319462858
PctSameState85,0.9816731758490375,0.0037337934053483512
MedOwnCostPctIncNoMtg,0.9896156343891935,0.0020986664417879386
MedNumBR,0.9897453978528694,0.0020721697053356636
LemasPctOfficDrugUn,0.9905039461936027,0.001917418672159693
PctForeignBorn,0.9906784451520353,0.00188185276334224
PctPopUnderPov,0.9907522456671288,0.001866814710401038
pctWFarmSelf,0.991686079002549,0.0016767243532980203
OtherPerCap,0.9929869730475492,0.0014125113708042536
PctIlleg,0.9935400516795866,0.0013003901170351162
PctSameCity85,0.9936009753744004,0.0012880471706840646
PctBornSameState,0.9945979825632424,0.0010862715451796234
NumStreet,0.9948773759581852,0.001029800087047117
PctEmplManu,0.9953912820392475,0.0009260113171396384
blackPerCap,0.9959807073954984,0.0008071025020177647
medIncome,0.9961120493728804,0.0007806251574945522
PctYoungKids2Par,0.9965980115618825,0.000682720294170755
PctRecentImmig,0.9966852683912685,0.0006651511191856363
PctVacMore6Mos,0.9971141048353765,0.000578849531990111
perCapInc,0.9971141048353765,0.000578849531990111
racePctHisp,0.998097385076428,0.00038124835352142117
PctLargHouseOccup,0.9989175146135526,0.00021673168617251937
NumImmig,0.9989175146135526,0.00021673168617251937
PctLess9thGrade,0.9989175146135526,0.00021673168617251937
PctPersDenseHous,0.9989175146135526,0.00021673168617251937
PolicOperBudg,1.0,0.0
MedRent,1.0,0.0
RentMedian,1.0,0.0
MedRentPctHousInc,1.0,0.0
RentLowQ,1.0,0.0
OwnOccHiQuart,1.0,0.0
RentHighQ,1.0,0.0
PctPolicAsian,1.0,0.0
OwnOccLowQuart,1.0,0.0
LemasPctPolicOnPatr,1.0,0.0
LemasGangUnitDeploy,1.0,0.0
MedYrHousBuilt,1.0,0.0
PctVacantBoarded,1.0,0.0
PctHousOwnOcc,1.0,0.0
PctHousOccup,1.0,0.0
HousVacant,1.0,0.0
OwnOccMedVal,1.0,0.0
PctWOFullPlumb,1.0,0.0
NumInShelters,1.0,0.0
PctPolicMinor,1.0,0.0
PctPolicHisp,1.0,0.0
PctPolicBlack,1.0,0.0
PctPolicWhite,1.0,0.0
RacialMatchCommPol,1.0,0.0
OfficAssgnDrugUnits,1.0,0.0
NumKindsDrugsSeiz,1.0,0.0
PolicPerPop,1.0,0.0
PolicReqPerOffic,1.0,0.0
LemasTotReqPerPop,1.0,0.0
MedOwnCostPctInc,1.0,0.0
LemasTotalReq,1.0,0.0
LemasSwFTFieldOps,1.0,0.0
LemasSwFTPerPop,1.0,0.0
LemasSwornFT,1.0,0.0
PolicAveOTWorked,1.0,0.0
LandArea,1.0,0.0
PctSameHouse85,1.0,0.0
PopDens,1.0,0.0
PctUsePubTrans,1.0,0.0
PolicCars,1.0,0.0
LemasSwFTFieldPerPop,1.0,0.0
population,1.0,0.0
PctSpeakEnglOnly,1.0,0.0
PctPersOwnOccup,1.0,0.0
PctEmploy,1.0,0.0
PctUnemployed,1.0,0.0
PctBSorMore,1.0,0.0
PctNotHSGrad,1.0,0.0
NumUnderPov,1.0,0.0
HispPerCap,1.0,0.0
indianPerCap,1.0,0.0
whitePerCap,1.0,0.0
medFamInc,1.0,0.0
pctWRetire,1.0,0.0
PctEmplProfServ,1.0,0.0
pctWPubAsst,1.0,0.0
pctWInvInc,1.0,0.0
pctWWage,1.0,0.0
numbUrban,1.0,0.0
agePct65up,1.0,0.0
agePct16t24,1.0,0.0
agePct12t29,1.0,0.0
agePct12t21,1.0,0.0
racePctAsian,1.0,0.0
racePctWhite,1.0,0.0
householdsize,1.0,0.0
pctWSocSec,1.0,0.0
PctHousLess3BR,1.0,0.0
PctOccupManu,1.0,0.0
MalePctDivorce,1.0,0.0
PersPerRentOccHous,1.0,0.0
PersPerOwnOccHous,1.0,0.0
PersPerOccupHous,1.0,0.0
PctLargHouseFam,1.0,0.0
PctNotSpeakEnglWell,1.0,0.0
PctRecImmig10,1.0,0.0
PctRecImmig8,1.0,0.0
PctRecImmig5,1.0,0.0
PctImmigRec10,1.0,0.0
PctImmigRec8,1.0,0.0
PctOccupMgmtProf,1.0,0.0
PctImmigRec5,1.0,0.0
NumIlleg,1.0,0.0
PctWorkMom,1.0,0.0
PctWorkMomYoungKids,1.0,0.0
PctTeen2Par,1.0,0.0
PctKids2Par,1.0,0.0
PctFam2Par,1.0,0.0
PersPerFam,1.0,0.0
TotalPctDiv,1.0,0.0
FemalePctDiv,1.0,0.0
MalePctNevMarr,1.0,0.0
PctImmigRecent,1.0,0.0
PolicBudgPerPop,1.0,0.0
