bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,80,0.575,0.5511658091132434,0.5843862119315812,0.2205387205387205,0.25328407224958954,1.469823870013264,0.15755170755170755
1,160,0.5625,0.5587918015102481,0.558252427184466,0.1857410881801126,0.15454545454545457,1.2285840652371818,0.07894043625750945
2,240,0.5583333333333333,0.5562100174365715,0.5557818176709594,0.14842171277262908,0.07247563585497524,1.1594636325673473,0.04225914196416163
3,320,0.559375,0.5553011582745228,0.5601666412280883,0.15656565656565655,0.015558001510013889,1.163836729114507,0.04053030303030302
4,400,0.5375,0.5333115773115773,0.5383800233100233,0.18484848484848485,0.04447038706907127,1.2730473750766194,0.05900673400673401
5,480,0.5354166666666667,0.5331408858775181,0.5357568218223356,0.17826864562283695,0.04255452704510201,1.2442413770363892,0.053559566116182365
6,560,0.5285714285714286,0.5246210876136009,0.5295047911786654,0.1799737438835183,0.04916273293652412,1.2450053749376273,0.05053705692803437
7,640,0.525,0.5232802629634125,0.5251209112103632,0.18067133706443325,0.057857058616025824,1.258472389405462,0.05156961579947241
8,720,0.5180555555555556,0.5155811499035335,0.5160289976021472,0.18279702842776627,0.051887898673515655,1.2561265521712974,0.05206643743695888
9,800,0.5225,0.5206187811919596,0.521121838750247,0.18855472013366747,0.06440135524920644,1.2697205203296966,0.057001879699248116
10,880,0.5227272727272727,0.5208851008665026,0.519506823184108,0.181629744785594,0.07556894080632336,1.2362634229906024,0.05500415641058859
11,960,0.5302083333333333,0.5285600369670829,0.5262431022776598,0.18235663019998608,0.06644546392175014,1.2442218309348698,0.05052692216150506
12,1040,0.5326923076923077,0.5313199827734711,0.5283379608924667,0.17842918985776132,0.04700268986621148,1.2337630858350226,0.04818675536512949
13,1120,0.5357142857142857,0.5342077569951328,0.5322573497452135,0.18222768222768226,0.04504095063319998,1.2514599785943934,0.05072515697515698
14,1200,0.5316666666666666,0.5302963079303112,0.5297366110550905,0.18660444724110123,0.05563236045338771,1.267291525472283,0.05129863560892716
15,1280,0.52734375,0.5259781022492888,0.5259576699195343,0.18424636464297572,0.0582476069590007,1.2673750833363262,0.05069092386741115
16,1360,0.5338235294117647,0.5317033200594291,0.5327963251279039,0.1847174467402867,0.05740750819490178,1.2809329934120968,0.05277700142343666
17,1440,0.5340277777777778,0.53182324927862,0.5327881480435613,0.1817415985423884,0.06561944796231263,1.2653381052782016,0.051200024216240723
18,1520,0.5381578947368421,0.5358485098607625,0.5363699004374135,0.1817454869849986,0.07386441473227569,1.2699462270358124,0.05133119787008341
19,1595,0.5366771159874608,0.5350050495313653,0.5346271871669,0.1771395825527319,0.07452623090363336,1.26141972942997,0.051394780769196645
