bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,80,0.575,0.5511658091132434,0.5843862119315812,0.2205387205387205,0.25328407224958954,1.469823870013264,0.15755170755170755
1,160,0.56875,0.5664427526496493,0.5659475294820122,0.18490723368772147,0.1441919191919192,1.2693291405763354,0.08052428601209088
2,240,0.5666666666666667,0.562075957978466,0.5624831233564896,0.18730402062574036,0.06834650483932438,1.2230788777513797,0.05983326325809692
3,320,0.571875,0.5650138523479232,0.5702634966963644,0.1898148148148148,0.02008010221632513,1.2338383153197967,0.05673400673400673
4,400,0.555,0.5468671913860198,0.5529470111478479,0.2255892255892256,0.05377152087678402,1.3629518477121765,0.07424242424242423
5,480,0.55,0.5436157436786128,0.5467937158630857,0.21617541170185586,0.070844599904847,1.3448966093932018,0.07393892895578319
6,560,0.5428571428571428,0.5351995922956504,0.5402471565176727,0.20861678004535147,0.08705242887219704,1.363283146977351,0.08098768299269553
7,640,0.5375,0.5321606251363665,0.5343915183363472,0.2077152883774934,0.09075390060863425,1.3705904563620834,0.07343528925512018
8,720,0.5333333333333333,0.5276666146938432,0.52835578435301,0.21054475389735505,0.08807650560898088,1.366998715448652,0.07125795372048217
9,800,0.53875,0.5336985896214071,0.5346034900152933,0.21512113617376774,0.09983585037494036,1.3766611053087736,0.07352596489458109
10,880,0.5397727272727273,0.5347019493404656,0.5338091561319537,0.2131191432396252,0.11451555347541886,1.3423766937489594,0.07542040954248463
11,960,0.546875,0.5424135072444115,0.5404110915290748,0.2138410795995633,0.10831161185153886,1.3482069612088858,0.07589094366655545
12,1040,0.55,0.5456407013259817,0.5429286856726339,0.21370439084724802,0.09440738899227023,1.3452122494858096,0.07092395406460897
13,1120,0.5535714285714286,0.5491306122263006,0.5474867298461488,0.2161138411138411,0.09090291554871167,1.363852984994795,0.07572452503008058
14,1200,0.5491666666666667,0.5446693917628439,0.544365750003779,0.22053742214450986,0.10381393663906624,1.388213781444789,0.08243287760902566
15,1280,0.54609375,0.5415912094459165,0.5419656201793372,0.2190034866462184,0.09412351190352385,1.387406489613752,0.08160225831423389
16,1360,0.5507352941176471,0.5455431691955205,0.5469527882517861,0.2203459723820068,0.10593917437585161,1.4031275698350811,0.08454715843334272
17,1440,0.5493055555555556,0.54407368732357,0.5453197854713272,0.2182411409456055,0.11679644800034587,1.388235678249034,0.08514274217981425
18,1520,0.5539473684210526,0.5486928668470389,0.5494047356883309,0.21893813858786712,0.1263172761759131,1.3948947783656331,0.08803733198235214
19,1595,0.5517241379310345,0.5472307453434758,0.5470029875047235,0.2141770860555988,0.12658036417015253,1.3794087199651537,0.08611877275742112
