bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,212,0.6037735849056604,0.5841972541328103,0.5935598471111299,0.4461055740125508,0.44758597883597884,2.4928304693375702,0.3886175158461981
1,424,0.5259433962264151,0.5097758373742428,0.5185945058390641,0.2752467466426277,0.2752622299256985,1.1930127991115627,0.19810861781313094
2,636,0.5487421383647799,0.5436779856352514,0.546852529137344,0.01901378807634263,0.05182316328570119,1.000772882753497,0.0
3,848,0.5648584905660378,0.5572728829074837,0.5617832442179752,0.11424880029531193,0.11153528883861535,1.0301790019179977,0.029646945137222238
4,1060,0.5820754716981132,0.5711750905675506,0.577109025857561,0.15798298408235587,0.1511609184066186,1.063542394882632,0.07092789033134332
5,1272,0.5966981132075472,0.5865794297074918,0.591359109350734,0.18396934865900383,0.17249342616461125,1.0895758240828035,0.09785871419320041
6,1484,0.5943396226415094,0.5820969809237793,0.5873989123763396,0.17498491704374056,0.1609721821691316,1.0854013540408642,0.08576464652167223
7,1696,0.5990566037735849,0.5866350296417895,0.5914515583867714,0.1863112061721794,0.17191746813670913,1.100243022551317,0.09868701058659757
8,1908,0.6022012578616353,0.587769480061998,0.5928630486971641,0.18975066259916243,0.17559306623767715,1.111369050198757,0.10441030502565463
9,2120,0.5981132075471698,0.5821794289341393,0.588106486679083,0.17411143398985343,0.1625772757570317,1.0949282006390804,0.08779199686653183
10,2332,0.6042024013722127,0.5891054832425457,0.5941040154197061,0.18682700584806075,0.17308682913086165,1.1115476387579248,0.10202753032648725
11,2544,0.6069182389937107,0.5912551743817253,0.5960987726753915,0.1948999442795969,0.1814171548855222,1.1261961013334436,0.11231753358654677
12,2756,0.6095791001451378,0.592513851024536,0.5980207221946594,0.18654069455955322,0.17344318676694218,1.1178183139102913,0.10445266543538662
13,2968,0.6121967654986523,0.593347366285893,0.599424011415515,0.18487509153914106,0.1720224520488061,1.121599480583735,0.10429262575885559
14,3180,0.6135220125786164,0.5936637149335047,0.6000477480313642,0.17746629838809413,0.16293313575019883,1.114465249686521,0.09529440388877203
15,3392,0.6143867924528302,0.5944541944541945,0.6010277108154467,0.18765206989262923,0.17333523773307105,1.130093342467721,0.10648720606627639
16,3604,0.6118201997780244,0.5917549329314036,0.5979829506760368,0.187259045459231,0.1732450259985655,1.1315249208009526,0.10652833720747051
17,3816,0.6069182389937107,0.5865995865995867,0.592075535471762,0.18681184971173084,0.1718276096939486,1.1347636184015562,0.10644612545236261
18,4028,0.6074975173783516,0.5863381181112167,0.5920053995834241,0.18761279737489744,0.17288154474106354,1.1395849207386721,0.1081444731601613
19,4222,0.6068214116532449,0.5853850557073831,0.5909674400682845,0.1894057189643743,0.17458028910765871,1.1444800133084958,0.1105763521098912
