Dataset,Modelo,Δ Exactitud,Δ F1 macro,Δ Disparidad,Reducción relativa,Margen
Adult,Fair-GAD,-0.005308560053085554,-0.009318108060000663,-0.053069384883375204,0.6804499265634671,sí
Adult,Fair-MAD,-0.0056403450564034285,-0.004889410917750636,-0.013921434149713599,0.17849912648598032,sí
Dutch Census,Fair-GAD,-0.00810989738497192,-0.008443486671697031,-0.0390113056166496,0.6975643639427345,sí
Dutch Census,Fair-MAD,-0.009433962264150941,-0.009699819653208208,-0.016034426588610602,0.286712900469985,sí
COMPAS,Fair-GAD,0.0,-0.020812623135631925,-0.1773682718421965,0.6736790388788754,sí
COMPAS,Fair-MAD,-0.0009469696969696129,-0.0014132042887087248,-0.00032479149508529703,0.001233620985154355,sí
OULAD,Fair-GAD,0.050341432428140376,0.03490897429092599,-0.0643175292439079,0.6992959172425313,sí
OULAD,Fair-MAD,-0.010639987295537612,-0.005169421729830537,-0.0050617248187689035,0.05503388487681307,sí
Communities and Crime,Fair-GAD,-0.012531328320801949,-0.009138247575072977,-0.026491367838371693,0.21534921446483357,sí
Communities and Crime,Fair-MAD,-0.007518796992481147,-0.006033153458632534,0.005472974914756817,-0.04448999598168969,sí
Student Performance,Fair-GAD,0.0,0.0,0.0,0.0,sí
Student Performance,Fair-MAD,0.0,0.0,0.0,0.0,sí
