Dataset,Modelo,Δ SPD,Δ EOD,Δ DI mínimo,Δ MEO
Adult,Fair-GAD,-0.06850966850273801,-0.06220821377658041,0.15311411538856812,
Adult,Fair-MAD,-0.014395281658169223,-0.019741463578743207,0.039966193945283224,
Dutch Census,Fair-GAD,-0.047077892193774507,-0.021520026548795104,0.06478129282221934,
Dutch Census,Fair-MAD,-0.019972820965506705,-0.016450182135697603,0.020647280576958416,
COMPAS,Fair-GAD,-0.1778222000111056,-0.1778834691667391,0.18514255642112498,
COMPAS,Fair-MAD,-0.0009217613415515302,-0.0003206739834646921,-0.0026807194409440016,
OULAD,Fair-GAD,-0.08318646457525561,-0.0845264848521949,0.11787706008486701,
OULAD,Fair-MAD,-0.002555516390553403,-0.006579868612755307,0.002050137768370902,
Communities and Crime,Fair-GAD,-0.03015226895823911,0.002917609913022784,0.047205909954025016,
Communities and Crime,Fair-MAD,0.0032664958038092773,0.027338621212856684,-0.018195106939529193,
Student Performance,Fair-GAD,0.0,0.0,0.0,
Student Performance,Fair-MAD,0.0,0.0,0.0,
