feature,w_j,D_j
cur_eco_activity_122,0.8845566758354495,0.013050981052798703
cur_eco_activity_124,0.887775488018828,0.012641091525472693
cur_eco_activity_138,0.9164924506328946,0.009111646179893587
cur_eco_activity_136,0.9289414655133383,0.0076494092603988165
edu_level_2,0.928945525896181,0.007648938729240426
household_position_1140,0.9307685861511006,0.007438090936779891
edu_level_0,0.9572591576825785,0.004464918614191418
economic_status_112,0.9620378631434308,0.003946012762172275
economic_status_120,0.9625724185415839,0.003888287336876274
edu_level_1,0.9681998968907781,0.003284456361887976
cur_eco_activity_139,0.9773889990903386,0.0023134085743450744
cur_eco_activity_111,0.9859182458765416,0.0014282882158184185
marital_status_3,0.9877389485542706,0.0012413250954288607
cur_eco_activity_132,0.9958905079702908,0.00041264496416223984
country_birth_2,0.997693216471913,0.00023121170816860215
cur_eco_activity_133,1.0,0.0
marital_status_2,1.0,0.0
edu_level_3,1.0,0.0
edu_level_4,1.0,0.0
economic_status_111,1.0,0.0
cur_eco_activity_134,1.0,0.0
marital_status_1,1.0,0.0
cur_eco_activity_137,1.0,0.0
cur_eco_activity_135,1.0,0.0
cur_eco_activity_131,1.0,0.0
edu_level_5,1.0,0.0
age,1.0,0.0
country_birth_3,1.0,0.0
citizenship_3,1.0,0.0
sex_female,1.0,0.0
sex_male,1.0,0.0
household_position_1110,1.0,0.0
household_position_1121,1.0,0.0
household_position_1122,1.0,0.0
household_position_1131,1.0,0.0
household_position_1132,1.0,0.0
household_position_1210,1.0,0.0
household_position_1220,1.0,0.0
household_size_111,1.0,0.0
household_size_112,1.0,0.0
household_size_113,1.0,0.0
household_size_114,1.0,0.0
household_size_125,1.0,0.0
household_size_126,1.0,0.0
prev_residence_place_1,1.0,0.0
prev_residence_place_2,1.0,0.0
citizenship_1,1.0,0.0
citizenship_2,1.0,0.0
country_birth_1,1.0,0.0
marital_status_4,1.0,0.0
