bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,2417,0.7327265204799338,0.732588051374377,0.7323337717441725,0.15810754366864554,0.01924257442191324,1.0525639174961376,0.044247762021488064
1,4834,0.7316921803889119,0.7313237783695796,0.7309574344620873,0.15634987843621193,0.014102146783598668,1.052094657703995,0.04308319743443343
2,7251,0.7225210315818508,0.7221665544339051,0.7217135353761057,0.14663470426562483,0.012593116512565616,1.0458874822541813,0.03502699162427004
3,9668,0.7196938353330575,0.7191225981165035,0.7185959069214238,0.1471522895845434,0.009179452743162841,1.0467375084670032,0.035696791009615585
4,12085,0.7201489449731071,0.7197892227091376,0.7192583623703924,0.14459002693820253,0.005534899524639092,1.0448602283391522,0.03342579525431026
5,14502,0.7168666390842643,0.7164964997857388,0.7159638947645783,0.14498071541406013,0.008246446626717474,1.045086597388822,0.033746229435824254
6,16919,0.7196051776109699,0.7192195638309391,0.7187380078664031,0.14403662794334088,0.007882006567569932,1.044353663540989,0.03288467452761319
7,19336,0.7186077782374845,0.718258306491479,0.7177728435374098,0.14220087373919188,0.006933838914462587,1.0431946992797951,0.031324030676087064
8,21753,0.7176481404863697,0.7172855765850514,0.7168010720648047,0.13922905189444434,0.00449333079563774,1.041373657086508,0.02880094337875543
9,24170,0.7163011998345056,0.7159220545799713,0.7154308403430663,0.1364272064147705,0.0027504260229305744,1.0397016216915165,0.02641807578151764
10,26587,0.7162899161244217,0.7159348289184326,0.7154683047701386,0.13853656099721554,0.0049488747229667895,1.0408564931159185,0.028162927769470124
11,29004,0.7155909529720038,0.7152026245916373,0.7147341649581792,0.13529878939073403,0.003009531902244178,1.038964410815605,0.025418335713317752
12,31421,0.7148085675185386,0.7143947694008764,0.7139266516306451,0.1334719611591969,0.003260246244731202,1.0379160970607342,0.023864687655908046
13,33838,0.7146403451740646,0.7142275896798895,0.7137583450978648,0.13307017348226702,0.004418095992796411,1.0376872644443214,0.0235224173267228
14,36255,0.7146876292925114,0.7142742563129831,0.7137973336078132,0.13282804933829828,0.0027339315623291505,1.0375777274016917,0.023330846273226746
15,38672,0.7141083988415391,0.7137070199245377,0.7132274719090592,0.1291666065762059,0.0018422507690877832,1.0354862529849542,0.020180668400116307
16,41089,0.7146924967752927,0.7143117609561184,0.7138414253074984,0.12906418050112628,0.0009412744311806387,1.0353912013745952,0.020071763288223566
17,43506,0.7141773548476072,0.713828500921341,0.7133599940025896,0.1292014139520792,0.002041862790317872,1.0354335175552989,0.020170955457302908
18,45923,0.7147398906865841,0.7143970893664925,0.7139319051741118,0.13057667268624143,0.002323278802108142,1.0361968031582376,0.021348092438931994
19,48336,0.7147260840781199,0.7143969001198309,0.7139323114255,0.13188361486236821,0.003302015067635944,1.036926667740555,0.022463280104271083
