Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
Adult,adult,binary,7,Fair-GAD,lambda=0.1,0.7576310550763106,0.7018683775928742,0.7509953550099535,0.42889625769777356,True,0.012699644140520458,0.09666245983073382,0.04835292267609548,0.7238021351568773,-0.006303915063039178,-0.053057477635427196,0.16688478825304298,0.1,directional,,,,por defecto del cargador
Adult,adult,binary,7,Fair-GAD,lambda=0.2,0.7554744525547445,0.6988430095823628,0.7509953550099535,0.42889625769777356,True,0.003716772524111974,0.0760502172863351,0.04715140445975047,0.7776993648553282,-0.008460517584605198,-0.06204034925183568,0.22078201795149388,0.2,directional,,,,por defecto del cargador
Adult,adult,binary,7,Fair-GAD,lambda=0.3,0.7546449900464499,0.6972300529926501,0.7509953550099535,0.42889625769777356,True,0.0,0.06729984812269318,0.04882026480262747,0.8005530740037388,-0.00928998009289983,-0.06575712177594766,0.24363572709990444,0.3,directional,,,,por defecto del cargador
Adult,adult,binary,7,Fair-GAD,lambda=0.5,0.7541473125414732,0.69677800820721,0.7509953550099535,0.42889625769777356,True,0.0,0.0650151701813051,0.05222806281510256,0.807183310023934,-0.009787657597876587,-0.06575712177594766,0.25026596312009963,0.5,directional,,,,por defecto del cargador
Adult,adult,binary,7,Fair-GAD,lambda=0.8,0.7524883875248839,0.6947319758739252,0.7509953550099535,0.42889625769777356,True,0.002338627060740205,0.05368078087699746,0.06446915173695461,0.8390368325620415,-0.01144658261446585,-0.06341849471520745,0.2821194856582072,0.8,directional,,,,por defecto del cargador
Adult,adult,binary,7,Fair-GAD,lambda=1.2,0.7524883875248839,0.6947319758739252,0.7509953550099535,0.42889625769777356,True,0.002338627060740205,0.05368078087699746,0.06446915173695461,0.8390368325620415,-0.01144658261446585,-0.06341849471520745,0.2821194856582072,1.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=0.1,0.7283184376034426,0.728045242585456,0.5239159218801721,0.34379581862612,True,0.01845171910803455,0.1272941480499942,0.015183305366599564,0.7494337014116889,-0.002648129758358153,-0.021132202595313666,0.042193262668788756,0.1,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=0.2,0.7258358159549818,0.7254499855562948,0.5239159218801721,0.34379581862612,True,0.010750084552099054,0.11571049754527798,0.02640719322791074,0.7669204877779616,-0.005130751406818956,-0.02883383715124916,0.05968004903506152,0.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=0.3,0.7256703078450845,0.7252739350826705,0.5239159218801721,0.34379581862612,True,0.010162970641579432,0.11471761321630228,0.02740709303804978,0.768457402583128,-0.005296259516716306,-0.029420951061768782,0.0612169638402279,0.3,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=0.5,0.7273253889440583,0.727076385467881,0.5239159218801721,0.34379581862612,True,0.020974339432426454,0.1302728010369212,0.010991259142345666,0.7450652407169317,-0.0036411784177424744,-0.01860958227092176,0.0378248019740316,0.5,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=0.8,0.7280701754385965,0.7278038306672685,0.5239159218801721,0.34379581862612,True,0.022849280052443834,0.13242476263268352,0.009096195138278196,0.740854002399836,-0.0028963919232042334,-0.01673464165090438,0.03361356365693591,0.8,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-GAD,lambda=1.2,0.7309665673618008,0.7306817086420796,0.5239159218801721,0.34379581862612,True,0.039583921703348214,0.15212063914401683,0.010621442696679084,0.7072404387429001,0.0,0.0,0.0,1.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=0.1,0.6107954545454546,0.597345547353294,0.5293560606060606,0.3461300309597523,True,0.26761139944638973,0.3354218489909664,0.3221150943435581,0.30166270783847987,0.0037878787878787845,-0.03756431582984854,0.02575169457157761,0.1,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=0.2,0.6022727272727273,0.5707898658718331,0.5293560606060606,0.3461300309597523,True,0.07378568364586496,0.14946415546037742,0.13640425514163523,0.5301498083300016,-0.004734848484848508,-0.2313900316303733,0.2542387950630993,0.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=0.3,0.5994318181818182,0.5640090382466192,0.5293560606060606,0.3461300309597523,True,0.09473684398082628,0.16534310883348602,0.15238804719715612,0.4670412481763267,-0.007575757575757569,-0.210438871295412,0.19113023490942443,0.3,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=0.5,0.5975378787878788,0.5609087467016791,0.5293560606060606,0.3461300309597523,True,0.08894774194075963,0.15904389623506088,0.14615975935596506,0.47672085953749405,-0.009469696969697017,-0.21622797333547863,0.20080984627059179,0.5,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=0.8,0.5918560606060606,0.5519922512897292,0.5293560606060606,0.3461300309597523,True,0.07417884515675263,0.14329586473899786,0.13062626059665985,0.5027711797307997,-0.015151515151515249,-0.23099687011948564,0.2268601664638974,0.8,directional,,,,por defecto del cargador
COMPAS,compas,binary,7,Fair-GAD,lambda=1.2,0.5833333333333334,0.5370174774307978,0.5293560606060606,0.3461300309597523,True,0.04510231173563683,0.1133746048964782,0.10102328292916607,0.561019060309368,-0.02367424242424243,-0.26007340354060143,0.28510804704246573,1.2,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=0.1,0.506265664160401,0.5080350329351737,0.3408521303258145,0.16947040498442367,True,0.03171734461001476,0.14706672036514967,0.06075034064164501,0.4537521815008726,-0.03508771929824561,-0.05495060395043321,0.1379406631762653,0.1,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=0.2,0.48872180451127817,0.4913222858701582,0.3408521303258145,0.16947040498442367,True,0.021388777017049266,0.1301852597664116,0.04808245297375733,0.5046609628399948,-0.05263157894736842,-0.06527917154339871,0.18884944451538754,0.2,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=0.3,0.48370927318295737,0.4865967445499873,0.3408521303258145,0.16947040498442367,True,0.019643576318968986,0.1301852597664116,0.05449270938401376,0.5046609628399948,-0.05764411027568922,-0.06702437224147899,0.18884944451538754,0.3,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=0.5,0.48621553884711777,0.4892966739541345,0.3408521303258145,0.16947040498442367,True,0.017025775271848564,0.13018525976641157,0.04711582700713137,0.5046609628399948,-0.05513784461152882,-0.06964217328859941,0.18884944451538754,0.5,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=0.8,0.48621553884711777,0.4894740910356284,0.3408521303258145,0.16947040498442367,True,0.017436904282454018,0.13018525976641157,0.04294407283537719,0.5046609628399948,-0.05513784461152882,-0.06923104427799395,0.18884944451538754,0.8,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,7,Fair-GAD,lambda=1.2,0.47869674185463656,0.4817203784035656,0.3408521303258145,0.16947040498442367,True,0.03216334034396862,0.136595516176668,0.07111779122648688,0.4926452256295188,-0.06265664160401002,-0.05450460821647935,0.1768337073049115,1.2,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=0.1,0.5230769230769231,0.4873746600089311,0.46153846153846156,0.21052631578947367,True,0.0,0.02650063856960409,0.04663251286814505,0.8559027777777778,0.007692307692307776,0.0,0.05034722222222221,0.1,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=0.2,0.5230769230769231,0.4873746600089311,0.46153846153846156,0.21052631578947367,True,0.0,0.02650063856960409,0.04663251286814505,0.8559027777777778,0.007692307692307776,0.0,0.05034722222222221,0.2,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=0.3,0.5230769230769231,0.4873746600089311,0.46153846153846156,0.21052631578947367,True,0.0,0.02650063856960409,0.04663251286814505,0.8559027777777778,0.007692307692307776,0.0,0.05034722222222221,0.3,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=0.5,0.5153846153846153,0.4789521442379769,0.46153846153846156,0.21052631578947367,True,0.0,0.015006385696040883,0.04548308758078873,0.9129629629629629,0.0,0.0,0.10740740740740728,0.5,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=0.8,0.5230769230769231,0.4873746600089311,0.46153846153846156,0.21052631578947367,True,0.0,0.02650063856960409,0.04663251286814505,0.8559027777777778,0.007692307692307776,0.0,0.05034722222222221,0.8,directional,,,,por defecto del cargador
Student Performance,student,multiclass,7,Fair-GAD,lambda=1.2,0.5153846153846153,0.4767084916158244,0.46153846153846156,0.21052631578947367,True,0.0,0.03799489144316729,0.054965846201478395,0.8055555555555556,0.0,0.0,0.0,1.2,directional,,,,por defecto del cargador
Adult,adult,binary,13,Fair-GAD,lambda=0.1,0.7481751824817519,0.6896330952967249,0.7509953550099535,0.42889625769777356,True,0.037600650335037344,0.13077797980210862,0.0447301483624436,0.6359520575939932,-0.010451227604512225,-0.056656346418608824,0.14828097273115753,0.1,directional,,,,por defecto del cargador
Adult,adult,binary,13,Fair-GAD,lambda=0.2,0.7473457199734572,0.6872154537434157,0.7509953550099535,0.42889625769777356,True,0.03257000107705324,0.1231192918914154,0.04780711288857198,0.6508185773205114,-0.011280690112806857,-0.06168699567659293,0.16314749245767574,0.2,directional,,,,por defecto del cargador
Adult,adult,binary,13,Fair-GAD,lambda=0.3,0.7471798274717982,0.6870664265845319,0.7509953550099535,0.42889625769777356,True,0.028738216736491753,0.11807439563747812,0.0479614788880009,0.6637194908560058,-0.01144658261446585,-0.06551878001715442,0.17604840599317012,0.3,directional,,,,por defecto del cargador
Adult,adult,binary,13,Fair-GAD,lambda=0.5,0.745686794956868,0.6850482293249469,0.7509953550099535,0.42889625769777356,True,0.02309042985339932,0.11053432266045524,0.04663460723799734,0.6825260662005146,-0.01293961512939612,-0.07116656690024685,0.19485498133767892,0.5,directional,,,,por defecto del cargador
Adult,adult,binary,13,Fair-GAD,lambda=0.8,0.7445255474452555,0.6840083682407156,0.7509953550099535,0.42889625769777356,True,0.020191804493149404,0.10696471531726298,0.04463574944245191,0.6927786036756296,-0.014100862641008627,-0.07406519226049676,0.20510751881279393,0.8,directional,,,,por defecto del cargador
