Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
Adult,adult,binary,7,Fair-MAD,"symmetric, eta=5",0.7586264100862641,0.7072629933975518,0.7509953550099535,0.42889625769777356,True,0.05364444319530538,0.15612224995023505,0.05309889104973131,0.5922973228659887,-0.005308560053085665,-0.012112678580642272,0.035379975962154364,,symmetric,5,0.8783287577635889,11,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"symmetric, eta=10",0.7325812873258128,0.687845583222987,0.7509953550099535,0.42889625769777356,True,0.022939940028733535,0.12143290146828101,0.06453560035600736,0.7052261627641608,-0.0313536828135369,-0.04281718174721412,0.14830881586032651,,symmetric,10,0.7830536477090729,16,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"symmetric, eta=20",0.7355673523556735,0.6886499234766884,0.7509953550099535,0.42889625769777356,True,0.003945571344760599,0.0875219931276647,0.056474626249625515,0.7763265719314365,-0.028367617783676247,-0.06181155043118706,0.21940922502760218,,symmetric,20,0.643457820663136,20,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"symmetric, eta=50",0.7279362972793629,0.681956226321858,0.7509953550099535,0.42889625769777356,True,0.001528127104375716,0.07968093230303455,0.06133857222809902,0.7991427955708998,-0.03599867285998681,-0.06422899467157193,0.24222544866706552,,symmetric,50,0.4192417629280449,28,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"directional, eta=10",0.7584605175846052,0.7069135109864422,0.7509953550099535,0.42889625769777356,True,0.05440495127554096,0.15689567598438203,0.05163647456922249,0.5900142554289862,-0.005474452554744547,-0.011352170500406697,0.0330969085251519,,directional,10,0.9225389934626018,10,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"directional, eta=20",0.7504976775049768,0.7011265537040532,0.7509953550099535,0.42889625769777356,True,0.04342479705173207,0.14509848458638375,0.058853359726210586,0.6296481868623751,-0.013437292634372988,-0.022332324724215584,0.0727308399585408,,directional,20,0.8562156661495676,14,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"directional, eta=50",0.7362309223623092,0.6892425659597449,0.7509953550099535,0.42889625769777356,True,0.004217450630577583,0.0880494772041138,0.056695597107517426,0.7746952962165345,-0.027704047777040497,-0.061539671145370074,0.21777794931270023,,directional,50,0.7043120975056018,21,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"directional, eta=100",0.7340743198407432,0.6873179214996443,0.7509953550099535,0.42889625769777356,True,0.0023068228887378243,0.0799123333498799,0.06102481572178037,0.7952592643978502,-0.029860650298606517,-0.06345029888720984,0.2383419174940159,,directional,100,0.5435815956525432,26,por defecto del cargador
Adult,adult,binary,7,Fair-MAD,"directional, eta=200",0.716821499668215,0.6729861674220073,0.7509953550099535,0.42889625769777356,True,0.0027425389131837813,0.046936556000306884,0.06927977702424615,0.8827018827921034,-0.04711347047113479,-0.06301458286276387,0.32578453588826906,,directional,200,0.3732317540275063,37,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"symmetric, eta=5",0.731711353856339,0.7314051599395659,0.5239159218801721,0.34379581862612,True,0.036700737490593244,0.1486453796349908,0.012607154419051081,0.7122792988038918,0.000744786494538241,-0.0028831842127549703,0.0050388600609917455,,symmetric,5,0.9367253939861041,12,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"symmetric, eta=10",0.7216153591525984,0.7212253194980025,0.5239159218801721,0.34379581862612,True,0.025862315898081533,0.13573695199851044,0.007120771133307058,0.7320292711770667,-0.009351208209202322,-0.013721605805266681,0.02478883243416663,,symmetric,10,0.8809816285350673,13,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"symmetric, eta=20",0.7140019860973188,0.7134549205474092,0.5239159218801721,0.34379581862612,True,0.01718972680928102,0.12514651453799225,0.007701707422968496,0.7471546682202984,-0.01696458126448197,-0.022394194894067194,0.03991422947739831,,symmetric,20,0.7872807551691525,14,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"symmetric, eta=50",0.6946375372393248,0.6938625363424423,0.5239159218801721,0.34379581862612,True,0.005109387394826803,0.1052877322410711,0.01684300101070685,0.7799191401131814,-0.036329030122476014,-0.03447453430852141,0.07267870137028132,,symmetric,50,0.5968413070044035,15,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"directional, eta=10",0.7322078781860312,0.7318931851718383,0.5239159218801721,0.34379581862612,True,0.03755222388488205,0.14963859267918878,0.011816015178544748,0.7103568175655548,0.0012413108242304016,-0.002031697818466162,0.0031163788226546973,,directional,10,0.962286982372985,10,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"directional, eta=20",0.7269116186693148,0.7266927003980067,0.5239159218801721,0.34379581862612,True,0.035145158650264345,0.14698849055695667,0.010525054970720038,0.7180154131950193,-0.004054948692486016,-0.004438763053083869,0.010774974452119168,,directional,20,0.9273151305102542,12,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"directional, eta=50",0.7146640185369083,0.7140410868648535,0.5239159218801721,0.34379581862612,True,0.018772571036843894,0.12713359805683286,0.006036181617917691,0.7421052926963945,-0.01630254882489246,-0.02081135066650432,0.03486485395349437,,directional,50,0.8361517583647129,14,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"directional, eta=100",0.7126779212181397,0.7120858107318753,0.5239159218801721,0.34379581862612,True,0.01670718661896136,0.12415401371010931,0.007918745872849853,0.7480649077064505,-0.018288646143661103,-0.022876735084386854,0.04082446896355041,,directional,100,0.7184371024093845,14,por defecto del cargador
Dutch Census,dutch,binary,7,Fair-MAD,"directional, eta=200",0.6938927507447865,0.6927869056327187,0.5239159218801721,0.34379581862612,True,0.0,0.08625750405490773,0.03764733407238746,0.8121606857643937,-0.037073816617014255,-0.039583921703348214,0.1049202470214936,,directional,200,0.560594492677708,15,por defecto del cargador
