Dataset,Modelo,Exactitud,F1 macro,|SPD|,Origen
Adult,LogisticRegression,0.8437292634372926,0.7765047851887981,0.1810308114471215,propio (misma partición)
Adult,DecisionTree,0.8133709356337093,0.74737581341058,0.1817946693665353,propio (misma partición)
Adult,RandomForest,0.8470471134704711,0.78713499029858,0.184848594421075,propio (misma partición)
Adult,Clase mayoritaria,0.7509953550099535,0.4288962576977735,0.0,propio (misma partición)
Adult,LAMDA clásico,0.76542800265428,0.7127207696917364,0.1817328978188114,propio (misma partición)
Adult,"Regresión logística (Le Quy et al., 2022)",0.7864,,0.0555,literatura verificada
Dutch Census,LogisticRegression,0.8361469712015889,0.8354000805996349,0.3194483282768028,propio (misma partición)
Dutch Census,DecisionTree,0.8195961602118503,0.8187451616056731,0.3250627427638725,propio (misma partición)
Dutch Census,RandomForest,0.8301059251903343,0.8296174841418134,0.340293039169192,propio (misma partición)
Dutch Census,Clase mayoritaria,0.5239159218801721,0.34379581862612,0.0,propio (misma partición)
Dutch Census,LAMDA clásico,0.7282356835484939,0.7281806134455108,0.1723977422247624,propio (misma partición)
Dutch Census,"Regresión logística (Le Quy et al., 2022)",0.8149,,0.3568,literatura verificada
COMPAS,LogisticRegression,0.6799242424242424,0.6748436748436748,0.2575934255094675,propio (misma partición)
COMPAS,DecisionTree,0.5880681818181818,0.5876655114191771,0.0573713143428285,propio (misma partición)
COMPAS,RandomForest,0.6117424242424242,0.6089016075357983,0.0867677272474873,propio (misma partición)
COMPAS,Clase mayoritaria,0.5293560606060606,0.3461300309597523,0.0,propio (misma partición)
COMPAS,LAMDA clásico,0.6117424242424242,0.5984686609686609,0.3329779554667111,propio (misma partición)
COMPAS,"Regresión logística (Le Quy et al., 2022)",0.6414,,0.3398,literatura verificada
OULAD,LogisticRegression,0.4435445450214388,0.3063893622953123,0.1332788009398846,propio (misma partición)
OULAD,DecisionTree,0.3419088454819755,0.2898207438873131,0.0318634010221499,propio (misma partición)
OULAD,RandomForest,0.3912974432269334,0.3133961831330288,0.0928186976612081,propio (misma partición)
OULAD,Clase mayoritaria,0.3757344767349531,0.1365577744430336,0.0,propio (misma partición)
OULAD,LAMDA clásico,0.2871208511989836,0.2706582319661071,0.0279645673593141,propio (misma partición)
Communities and Crime,LogisticRegression,0.6942355889724311,0.6867400355712897,0.310719131614654,propio (misma partición)
Communities and Crime,DecisionTree,0.6040100250626567,0.6009042946762538,0.2471983516759636,propio (misma partición)
Communities and Crime,RandomForest,0.6917293233082706,0.683141672218671,0.3079551736268154,propio (misma partición)
Communities and Crime,Clase mayoritaria,0.3408521303258145,0.1694704049844236,0.0,propio (misma partición)
Communities and Crime,LAMDA clásico,0.556390977443609,0.5529716365673284,0.2536308357203879,propio (misma partición)
Student Performance,LogisticRegression,0.5692307692307692,0.5143138704114314,0.1412698412698412,propio (misma partición)
Student Performance,DecisionTree,0.5076923076923077,0.4902998748370947,0.0301587301587301,propio (misma partición)
Student Performance,RandomForest,0.6307692307692307,0.5512018588201427,0.0968253968253968,propio (misma partición)
Student Performance,Clase mayoritaria,0.4615384615384615,0.2105263157894736,0.0,propio (misma partición)
Student Performance,LAMDA clásico,0.5076923076923077,0.472058003742406,0.0746031746031746,propio (misma partición)
