bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,1260,0.2912698412698413,0.27157621803654114,0.29928838714384354,0.16677251664196835,0.19654851508172988,1.8942598293262132,0.0889226089754355
1,2520,0.3384920634920635,0.2998574944195083,0.34473967982592746,0.08687598116169545,0.12861646627505424,1.2234430116066308,0.03865769561110945
2,3780,0.335978835978836,0.29728860517837713,0.3431211882858742,0.06879391100702577,0.10728525050406294,1.188462190633369,0.02305632789982482
3,5040,0.3380952380952381,0.30085895174857963,0.344726931417519,0.06995563163923105,0.08401537613497567,1.1594691526776748,0.014648156630942849
4,6300,0.34,0.30262067388626285,0.34707765247407396,0.06841283497434915,0.0994059204934266,1.1675137582527526,0.017862197888770463
5,7560,0.3380952380952381,0.3017449121741988,0.34571678452690396,0.07075283532339509,0.09816029715176529,1.187564388102055,0.016771883776592684
6,8820,0.34138321995464854,0.3062658220892857,0.34824711191764435,0.06993076385554768,0.10231453447702242,1.1871383352690128,0.017498676178016558
7,10080,0.3402777777777778,0.305368767695841,0.3470875771081609,0.06950235436693615,0.10199177271035528,1.1810343414997355,0.016901440729917165
8,11340,0.3384479717813051,0.3047785155826944,0.3453106794143353,0.06944182594917667,0.10758833755157131,1.181004482869504,0.018921100046284615
9,12600,0.33825396825396825,0.3055098873669069,0.345418355536703,0.0716316063632027,0.10066626710925208,1.1903713068645738,0.01799286335800543
10,13860,0.3383838383838384,0.3067799467065075,0.34508909855025127,0.07581124411737436,0.09252472336290737,1.1906103241055914,0.017614058201247465
11,15120,0.33525132275132274,0.30381802963614346,0.34180840383990146,0.0797257617379768,0.09027428346616254,1.1903080819664513,0.015443191543086428
12,16380,0.33418803418803417,0.302834048613061,0.34096853871338506,0.0819590531388342,0.0912145054917047,1.1867420062572391,0.014521549134387083
13,17640,0.3344104308390023,0.30270559012884835,0.3408629819326069,0.08506550768455531,0.09691964365155903,1.2027821491005426,0.016519185463342877
14,18900,0.3351851851851852,0.30290572262974513,0.34186162487974187,0.08530866372980911,0.09303138844221079,1.208936582477262,0.015864181554606744
15,20160,0.33497023809523807,0.3025721618961666,0.3418088283223426,0.08321916299559472,0.08848330994554159,1.201385924985288,0.015344685148795056
16,21420,0.33548085901027075,0.3030469117902034,0.34225120001887466,0.08258264773594019,0.0878442621696615,1.1932520449698614,0.014966572421868794
17,22680,0.3354938271604938,0.3031649049624789,0.34199465889652286,0.08131607951994121,0.08729291619983161,1.196282283171504,0.01592895130254444
18,23940,0.3366750208855472,0.303686208296179,0.34308885550862145,0.0805987095587855,0.08842770174259083,1.196514776423226,0.016107594621940613
19,25185,0.3359936470121104,0.3029727298595399,0.3423349750122742,0.08099210189781902,0.09142054887617862,1.1965043908244213,0.016954796938290044
