Dataset,Modelo,Accuracy,Delta Accuracy,F1_macro,Delta F1_macro,D_g,Delta D_g,Delta |SPD|,Delta |EOD|,DI mínimo,Delta DI mínimo,Composición,Lectura
Adult,Fair-GAD,0.7601194426011945,-0.005308560053085554,0.7034026616317357,-0.009318108060000663,0.02492222450865742,-0.053069384883375224,-0.06850966850273801,-0.06220821377658048,0.6769131115802024,0.15311411538856812,SPD + EOD + DI (normalizada),reduce la disparidad observada
Adult,Fair-MAD,0.7597876575978766,-0.0056403450564034285,0.7078313587739857,-0.004889410917750636,0.06407017524231909,-0.013921434149713557,-0.014395281658169279,-0.019741463578743235,0.5637651901369175,0.039966193945283224,SPD + EOD + DI (normalizada),reduce la disparidad observada
Dutch Census,Fair-GAD,0.720125786163522,-0.00810989738497192,0.7197371267738137,-0.008443486671697031,0.016913720994733067,-0.03901130561664961,-0.04707789219377456,-0.021520026548795146,0.7499364831565576,0.06478129282221934,SPD + EOD + DI (normalizada),reduce la disparidad observada
Dutch Census,Fair-MAD,0.7188017212843429,-0.009433962264150941,0.7184807937923026,-0.009699819653208208,0.03989060002277202,-0.016034426588610658,-0.019972820965506677,-0.0164501821356976,0.7058024709112967,0.020647280576958416,SPD + EOD + DI (normalizada),reduce la disparidad observada
COMPAS,Fair-GAD,0.6117424242424242,0.0,0.577656037833029,-0.020812623135631925,0.08591477780911769,-0.17736827184219647,-0.17782220001110557,-0.17788346916673917,0.49816810344827595,0.18514255642112504,SPD + EOD + DI (normalizada),reduce la disparidad observada
COMPAS,Fair-MAD,0.6107954545454546,-0.0009469696969696129,0.5970554566799522,-0.0014132042887087248,0.26295825815622886,-0.00032479149508529703,-0.0009217613415514747,-0.0003206739834647476,0.31034482758620696,-0.002680719440943946,SPD + EOD + DI (normalizada),reduce la disparidad observada
OULAD,Fair-GAD,0.33746228362712405,0.05034143242814043,0.3055672062570331,0.03490897429092599,0.027657166529414027,-0.06431752924390788,-0.08318646457525554,-0.08452648485219488,0.26697156192949767,0.11787706008486706,SPD + EOD (normalizada),reduce la disparidad observada
OULAD,Fair-MAD,0.27648086390344606,-0.010639987295537556,0.2654888102362766,-0.005169421729830537,0.08691297095455304,-0.005061724818768862,-0.002555516390553375,-0.006579868612755363,0.15114463961300154,0.00205013776837093,SPD + EOD (normalizada),reduce la disparidad observada
Communities and Crime,Fair-GAD,0.543859649122807,-0.012531328320801949,0.5438333889922554,-0.009138247575072977,0.09652448761392542,-0.02649136783837168,-0.030152268958239137,0.002917609913022784,0.2706248974905691,0.047205909954025016,SPD + EOD (normalizada),reduce la disparidad observada
Communities and Crime,Fair-MAD,0.5488721804511278,-0.007518796992481147,0.5469384831086959,-0.006033153458632534,0.1284888303670539,0.005472974914756817,0.0032664958038092218,0.027338621212856684,0.20522388059701493,-0.018195106939529165,SPD + EOD (normalizada),empeora la disparidad
Student Performance,Fair-GAD,0.5076923076923077,0.0,0.47205800374240603,0.0,0.01772486772486774,0.0,0.0,0.0,0.7080745341614906,0.0,SPD + EOD (normalizada),sin cambio apreciable
Student Performance,Fair-MAD,0.5076923076923077,0.0,0.47205800374240603,0.0,0.01772486772486774,0.0,0.0,0.0,0.7080745341614906,0.0,SPD + EOD (normalizada),sin cambio apreciable
