Dataset,Composición,Modelo,Accuracy,F1_macro,D_g propia,D_g referencia,|SPD|,|EOD|,DI mínimo,Predicciones distintas,Cambia
Adult,SPD+EOD+DI,LAMDA clásico,0.76542800265428,0.7127207696917364,0.07799160939203265,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,0,False
Adult,SPD+EOD+DI,Fair-GAD,0.7601194426011945,0.7034026616317357,0.02492222450865742,0.02492222450865742,0.11322322931607345,0.01742524092089781,0.6769131115802024,0,False
Adult,SPD+EOD+DI,Fair-MAD,0.7597876575978766,0.7078313587739857,0.06407017524231909,0.06407017524231909,0.1673376161606422,0.059891991118735055,0.5637651901369175,0,False
Adult,SPD+EOD,LAMDA clásico,0.76542800265428,0.7127207696917364,0.04115289027116595,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,0,False
Adult,SPD+EOD,Fair-GAD,0.7601194426011945,0.7034026616317357,0.006611614658036724,0.02492222450865742,0.11322322931607345,0.01742524092089781,0.6769131115802024,0,False
Adult,SPD+EOD,Fair-MAD,0.756635700066357,0.7049480910959518,0.031082438399202883,0.05902376693990463,0.16216487679840577,0.057194538988269206,0.5788677434163849,19,True
Adult,solo SPD,LAMDA clásico,0.76542800265428,0.7127207696917364,0.08173289781881145,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,0,False
Adult,solo SPD,Fair-GAD,0.7602853351028533,0.7035545875738075,0.01297764974829349,0.024761249048291755,0.1129776497482935,0.01724679695230391,0.6773878052068365,1,True
Adult,solo SPD,Fair-MAD,0.7597876575978766,0.7078313587739857,0.0673376161606422,0.06407017524231909,0.1673376161606422,0.059891991118735055,0.5637651901369175,0,False
Adult,solo EOD,LAMDA clásico,0.76542800265428,0.7127207696917364,0.0005728827235204487,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,0,False
Adult,solo EOD,Fair-GAD,0.76542800265428,0.7127207696917364,0.0005728827235204487,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,200,True
Adult,solo EOD,Fair-MAD,0.76542800265428,0.7127207696917364,0.0005728827235204487,0.07799160939203265,0.18173289781881147,0.07963345469747829,0.5237989961916343,54,True
Dutch Census,SPD+EOD+DI,LAMDA clásico,0.7282356835484939,0.7281806134455108,0.055925026611382676,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,0,False
Dutch Census,SPD+EOD+DI,Fair-GAD,0.720125786163522,0.7197371267738137,0.016913720994733067,0.016913720994733067,0.1253198500309879,0.012879924625667005,0.7499364831565576,0,False
Dutch Census,SPD+EOD+DI,Fair-MAD,0.7188017212843429,0.7184807937923026,0.03989060002277202,0.03989060002277202,0.15242492125925577,0.01794976903876455,0.7058024709112967,0,False
Dutch Census,SPD+EOD,LAMDA clásico,0.7282356835484939,0.7281806134455108,0.03619887111238121,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,0,False
Dutch Census,SPD+EOD,Fair-GAD,0.720125786163522,0.7197371267738137,0.012659925015493942,0.016913720994733067,0.1253198500309879,0.012879924625667005,0.7499364831565576,0,False
Dutch Census,SPD+EOD,Fair-MAD,0.7239324726911619,0.7237435582553013,0.03179707066023006,0.04897288377927462,0.16359414132046013,0.0268570367288411,0.6920700115665688,92,True
Dutch Census,solo SPD,LAMDA clásico,0.7282356835484939,0.7281806134455108,0.07239774222476242,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,0,False
Dutch Census,solo SPD,Fair-GAD,0.7202912942734194,0.7198853840400579,0.023674030412818042,0.015823436210548485,0.12367403041281805,0.014889859325660337,0.7524074435623452,10,True
Dutch Census,solo SPD,Fair-MAD,0.7150777888116517,0.714606610316536,0.04737131268468897,0.03586440120153292,0.14737131268468898,0.015014004904658429,0.710311195123853,83,True
Dutch Census,solo EOD,LAMDA clásico,0.7282356835484939,0.7281806134455108,0.0,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,0,False
Dutch Census,solo EOD,Fair-GAD,0.7282356835484939,0.7281806134455108,0.0,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,286,True
Dutch Census,solo EOD,Fair-MAD,0.7282356835484939,0.7281806134455108,0.0,0.055925026611382676,0.17239774222476245,0.03439995117446215,0.6851551903343382,236,True
COMPAS,SPD+EOD+DI,LAMDA clásico,0.6117424242424242,0.5984686609686609,0.26328304965131416,0.26328304965131416,0.3329779554667111,0.31711647292489986,0.3130255470271509,0,False
COMPAS,SPD+EOD+DI,Fair-GAD,0.6117424242424242,0.577656037833029,0.08591477780911769,0.08591477780911769,0.15515575545560553,0.1392330037581607,0.49816810344827595,0,False
COMPAS,SPD+EOD+DI,Fair-MAD,0.6107954545454546,0.5970554566799522,0.26295825815622886,0.26295825815622886,0.33205619412515963,0.3167957989414351,0.31034482758620696,0,False
COMPAS,SPD+EOD,LAMDA clásico,0.6117424242424242,0.5984686609686609,0.22504721419580548,0.26328304965131416,0.3329779554667111,0.31711647292489986,0.3130255470271509,0,False
COMPAS,SPD+EOD,Fair-GAD,0.6117424242424242,0.577656037833029,0.05341419257574551,0.08591477780911769,0.15515575545560553,0.1392330037581607,0.49816810344827595,0,False
COMPAS,SPD+EOD,Fair-MAD,0.6098484848484849,0.5897018050132972,0.2137602129458902,0.2577748988177515,0.3200732966849908,0.3074471292067896,0.27192118226600986,39,True
COMPAS,solo SPD,LAMDA clásico,0.6117424242424242,0.5984686609686609,0.2329779554667111,0.26328304965131416,0.3329779554667111,0.31711647292489986,0.3130255470271509,0,False
COMPAS,solo SPD,Fair-GAD,0.6126893939393939,0.5836247162089858,0.026425676050863434,0.054389383093025025,0.12642567605086344,0.10961693573219788,0.6014703308244355,21,True
COMPAS,solo SPD,Fair-MAD,0.6098484848484849,0.5897018050132972,0.2200732966849908,0.2577748988177515,0.3200732966849908,0.3074471292067896,0.27192118226600986,39,True
COMPAS,solo EOD,LAMDA clásico,0.6117424242424242,0.5984686609686609,0.21711647292489983,0.26328304965131416,0.3329779554667111,0.31711647292489986,0.3130255470271509,0,False
COMPAS,solo EOD,Fair-GAD,0.6107954545454546,0.5763775761687009,0.05013416815742398,0.08443048698263686,0.15354544949747348,0.13769454221969918,0.5007763134139737,1,True
COMPAS,solo EOD,Fair-MAD,0.6098484848484849,0.5959283750650123,0.2152573374029736,0.2614195651338146,0.3304458881670276,0.31525733740297357,0.31138625318213375,1,True
