feature,w_j,D_j
Mjob_teacher,0.9882536180154456,0.00237719989493039
Mjob_services,0.9882536180154456,0.00237719989493039
Fjob_teacher,0.9882536180154456,0.00237719989493039
Mjob_at_home,0.9882536180154456,0.00237719989493039
Mjob_other,0.992343032159265,0.0015432098765432167
guardian_other,0.992343032159265,0.0015432098765432167
absences,0.992343032159265,0.0015432098765432167
reason_home,0.9946115410992455,0.001083530338849494
reason_course,1.0,0.0
reason_other,1.0,0.0
reason_reputation,1.0,0.0
guardian_father,1.0,0.0
guardian_mother,1.0,0.0
schoolsup_no,1.0,0.0
schoolsup_yes,1.0,0.0
famsup_no,1.0,0.0
famsup_yes,1.0,0.0
paid_no,1.0,0.0
paid_yes,1.0,0.0
activities_no,1.0,0.0
activities_yes,1.0,0.0
nursery_no,1.0,0.0
nursery_yes,1.0,0.0
higher_no,1.0,0.0
higher_yes,1.0,0.0
internet_no,1.0,0.0
internet_yes,1.0,0.0
Fjob_services,1.0,0.0
Fjob_other,1.0,0.0
age,1.0,0.0
Fjob_at_home,1.0,0.0
Medu,1.0,0.0
Fedu,1.0,0.0
traveltime,1.0,0.0
studytime,1.0,0.0
failures,1.0,0.0
famrel,1.0,0.0
freetime,1.0,0.0
goout,1.0,0.0
Dalc,1.0,0.0
Walc,1.0,0.0
health,1.0,0.0
school_GP,1.0,0.0
school_MS,1.0,0.0
sex_F,1.0,0.0
sex_M,1.0,0.0
address_R,1.0,0.0
address_U,1.0,0.0
famsize_GT3,1.0,0.0
famsize_LE3,1.0,0.0
Pstatus_A,1.0,0.0
Pstatus_T,1.0,0.0
Mjob_health,1.0,0.0
romantic_no,1.0,0.0
Fjob_health,1.0,0.0
romantic_yes,1.0,0.0
