bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,32,0.5,0.4417989417989418,0.5158730158730158,0.06926406926406925,0.2533670033670034,1.0407888407888408,0.09231601731601731
1,64,0.4375,0.4025240178418254,0.4341652124613999,0.09235209235209237,0.2573491323491323,1.0431793883946996,0.09581529581529581
2,96,0.4895833333333333,0.4700114547537228,0.48994845360824746,0.07259528130671507,0.1217893217893218,1.0491533021758814,0.020529772707631146
3,128,0.4921875,0.45873024722824,0.4913262719331432,0.0647773279352227,0.08272604588394061,1.046539425486794,0.011111111111111105
4,160,0.45625,0.4275920499830745,0.45658583672653064,0.08291059837451588,0.0767872523686477,1.0810239724506816,0.01149566355751922
5,192,0.4635416666666667,0.4299622023113414,0.461133505932408,0.07362918474029582,0.030423280423280463,1.0664543996171973,0.0022578133689244765
6,224,0.4955357142857143,0.456856984191804,0.4946681670178127,0.06810392482034272,0.06180307804098517,1.0479727232702551,0.0004993705608279849
7,256,0.51171875,0.47659372196395067,0.511449191749373,0.07062218826924709,0.04699992064065498,1.0411356842558048,0.0009888804006451025
8,288,0.5173611111111112,0.48115659519168297,0.5168392625081222,0.04681243193432184,0.05131494783737112,1.0171723923103964,0.0
9,320,0.521875,0.48563552285949757,0.520087314105453,0.038181402049086516,0.06837492671994772,1.0100396256946054,0.0
10,352,0.5227272727272727,0.483895286322707,0.5201799718545677,0.04632237871674491,0.07844113511004853,1.0140084140479575,0.0013457556935817748
11,384,0.5130208333333334,0.4817542312955157,0.5102294668521733,0.040019327516129966,0.08715675510133003,1.0093541719499324,0.0
12,416,0.5144230769230769,0.48150006271165186,0.5117086874933671,0.0441124497991968,0.10513696884505626,1.0088738482436572,0.004427736006683378
13,448,0.5200892857142857,0.4896728788279551,0.5188033392252958,0.044737484737484706,0.08582281857359152,1.0092025992561942,0.0
14,480,0.5208333333333334,0.48973137973137976,0.5189827533577533,0.04283121597096188,0.06810904071773637,1.0107198672764806,0.00023809523809523633
15,512,0.5234375,0.4902712903327626,0.5225707178399952,0.04252610134963078,0.07694219318486252,1.0106305154863062,0.0
16,519,0.5183044315992292,0.4854569230555208,0.517324620073451,0.04217459185045027,0.07092383755771693,1.0102377343625373,0.0
